 
                                                                                                                                                                                                                                                                
 
 
Class Variable Summary Statistics

Data Role=TEST Output Type=SEGMENT

            Numeric    Formatted    Frequency
Variable     Value       Value        Count      Percent

 _NODE_        24         24            35       0.70664
 _NODE_        32         32            93       1.87765
 _NODE_        34         34            28       0.56531
 _NODE_        35         35             1       0.02019
 _NODE_        37         37            19       0.38361
 _NODE_        38         38            37       0.74702
 _NODE_        39         39             5       0.10095
 _NODE_        42         42            12       0.24228
 _NODE_        43         43            20       0.40380
 _NODE_        51         51             6       0.12114
 _NODE_        53         53            79       1.59499
 _NODE_        55         55            80       1.61518
 _NODE_        58         58            72       1.45366
 _NODE_        62         62            16       0.32304
 _NODE_        69         69            34       0.68645
 _NODE_        72         72           158       3.18999
 _NODE_        73         73            84       1.69594
 _NODE_        75         75            66       1.33253
 _NODE_        78         78            55       1.11044
 _NODE_        79         79            40       0.80759
 _NODE_        80         80            11       0.22209
 _NODE_        81         81            27       0.54512
 _NODE_        82         82            24       0.48455
 _NODE_        87         87            36       0.72683
 _NODE_        88         88            17       0.34323
 _NODE_        89         89            99       1.99879
 _NODE_        90         90             6       0.12114
 _NODE_        96         96            28       0.56531
 _NODE_        97         97            30       0.60569
 _NODE_        98         98             6       0.12114
 _NODE_        99         99             7       0.14133
 _NODE_       102         102           64       1.29215
 _NODE_       105         105           83       1.67575
 _NODE_       106         106           52       1.04987
 _NODE_       109         109          258       5.20896
 _NODE_       110         110           57       1.15082
 _NODE_       112         112           49       0.98930
 _NODE_       113         113           58       1.17101
 _NODE_       115         115           71       1.43347
 _NODE_       116         116           29       0.58550
 _NODE_       120         120           21       0.42399
 _NODE_       121         121           56       1.13063
 _NODE_       124         124           93       1.87765
 _NODE_       125         125           45       0.90854
 _NODE_       126         126           15       0.30285
 _NODE_       127         127          102       2.05936
 _NODE_       128         128            8       0.16152
 _NODE_       129         129          224       4.52251
 _NODE_       130         130           39       0.78740
 _NODE_       131         131            4       0.08076
 _NODE_       132         132           32       0.64607
 _NODE_       134         134           18       0.36342
 _NODE_       135         135           14       0.28266
 _NODE_       136         136            7       0.14133
 _NODE_       137         137           77       1.55461
 _NODE_       138         138           82       1.65556
 _NODE_       139         139           37       0.74702
 _NODE_       140         140            5       0.10095
 _NODE_       142         142           26       0.52493
 _NODE_       143         143           53       1.07006
 _NODE_       144         144           24       0.48455
 _NODE_       145         145            3       0.06057
 _NODE_       146         146          120       2.42277
 _NODE_       147         147            3       0.06057
 _NODE_       148         148           21       0.42399
 _NODE_       150         150           41       0.82778
 _NODE_       152         152            9       0.18171
 _NODE_       155         155          309       6.23864
 _NODE_       156         156           39       0.78740
 _NODE_       160         160           15       0.30285
 _NODE_       161         161            2       0.04038
 _NODE_       165         165           26       0.52493
 _NODE_       166         166           76       1.53442
 _NODE_       167         167            7       0.14133
 _NODE_       168         168           12       0.24228
 _NODE_       169         169            9       0.18171
 _NODE_       170         170            2       0.04038
 _NODE_       175         175           11       0.22209
 _NODE_       176         176           66       1.33253
 _NODE_       177         177           15       0.30285
 _NODE_       178         178            5       0.10095
 _NODE_       179         179            5       0.10095
 _NODE_       180         180            8       0.16152
 _NODE_       187         187            4       0.08076
 _NODE_       188         188          103       2.07955
 _NODE_       189         189           27       0.54512
 _NODE_       190         190            6       0.12114
 _NODE_       191         191            9       0.18171
 _NODE_       192         192            3       0.06057
 _NODE_       193         193            5       0.10095
 _NODE_       194         194            6       0.12114
 _NODE_       195         195            2       0.04038
 _NODE_       196         196            8       0.16152
 _NODE_       197         197           18       0.36342
 _NODE_       198         198           32       0.64607
 _NODE_       199         199           37       0.74702
 _NODE_       200         200           62       1.25177
 _NODE_       201         201           59       1.19120
 _NODE_       202         202           77       1.55461
 _NODE_       203         203           35       0.70664
 _NODE_       204         204           64       1.29215
 _NODE_       205         205           64       1.29215
 _NODE_       206         206           75       1.51423
 _NODE_       207         207           48       0.96911
 _NODE_       211         211           25       0.50474
 _NODE_       212         212           11       0.22209
 _NODE_       213         213           91       1.83727
 _NODE_       214         214           32       0.64607
 _NODE_       215         215           33       0.66626
 _NODE_       222         222            1       0.02019
 _NODE_       223         223           18       0.36342
 _NODE_       224         224            4       0.08076
 _NODE_       225         225           43       0.86816
 _NODE_       226         226           20       0.40380
 _NODE_       230         230           17       0.34323
 _NODE_       231         231           55       1.11044
 _NODE_       232         232           21       0.42399
 _NODE_       233         233           19       0.38361
 _NODE_       234         234           17       0.34323
 _NODE_       235         235           24       0.48455
 _NODE_       236         236            3       0.06057
 _NODE_       237         237            1       0.02019
 _NODE_       238         238           36       0.72683


Data Role=TRAIN Output Type=SEGMENT

            Numeric    Formatted    Frequency
Variable     Value       Value        Count      Percent

 _NODE_        24         24            46       0.69644
 _NODE_        32         32           139       2.10447
 _NODE_        34         34            52       0.78728
 _NODE_        35         35             5       0.07570
 _NODE_        37         37            23       0.34822
 _NODE_        38         38            58       0.87812
 _NODE_        39         39             8       0.12112
 _NODE_        42         42            18       0.27252
 _NODE_        43         43            23       0.34822
 _NODE_        51         51             5       0.07570
 _NODE_        53         53            84       1.27176
 _NODE_        55         55           100       1.51400
 _NODE_        58         58           133       2.01363
 _NODE_        62         62            27       0.40878
 _NODE_        69         69            53       0.80242
 _NODE_        72         72           184       2.78577
 _NODE_        73         73           103       1.55942
 _NODE_        75         75            91       1.37774
 _NODE_        78         78            55       0.83270
 _NODE_        79         79            61       0.92354
 _NODE_        80         80             7       0.10598
 _NODE_        81         81            28       0.42392
 _NODE_        82         82            53       0.80242
 _NODE_        87         87            47       0.71158
 _NODE_        88         88            12       0.18168
 _NODE_        89         89           112       1.69569
 _NODE_        90         90             7       0.10598
 _NODE_        96         96            60       0.90840
 _NODE_        97         97            33       0.49962
 _NODE_        98         98            12       0.18168
 _NODE_        99         99             8       0.12112
 _NODE_       102         102           90       1.36260
 _NODE_       105         105          134       2.02877
 _NODE_       106         106           60       0.90840
 _NODE_       109         109          322       4.87509
 _NODE_       110         110           98       1.48372
 _NODE_       112         112           53       0.80242
 _NODE_       113         113           71       1.07494
 _NODE_       115         115          101       1.52914
 _NODE_       116         116           48       0.72672
 _NODE_       120         120           28       0.42392
 _NODE_       121         121           65       0.98410
 _NODE_       124         124          140       2.11961
 _NODE_       125         125           68       1.02952
 _NODE_       126         126           20       0.30280
 _NODE_       127         127          158       2.39213
 _NODE_       128         128           16       0.24224
 _NODE_       129         129          303       4.58743
 _NODE_       130         130           47       0.71158
 _NODE_       131         131           12       0.18168
 _NODE_       132         132           42       0.63588
 _NODE_       134         134           22       0.33308
 _NODE_       135         135           20       0.30280
 _NODE_       136         136            9       0.13626
 _NODE_       137         137          111       1.68055
 _NODE_       138         138           91       1.37774
 _NODE_       139         139           47       0.71158
 _NODE_       140         140            5       0.07570
 _NODE_       142         142           28       0.42392
 _NODE_       143         143           55       0.83270
 _NODE_       144         144           39       0.59046
 _NODE_       145         145            8       0.12112
 _NODE_       146         146          175       2.64951
 _NODE_       147         147            6       0.09084
 _NODE_       148         148           41       0.62074
 _NODE_       150         150           41       0.62074
 _NODE_       152         152           10       0.15140
 _NODE_       155         155          385       5.82892
 _NODE_       156         156           45       0.68130
 _NODE_       160         160           26       0.39364
 _NODE_       161         161            8       0.12112
 _NODE_       165         165           31       0.46934
 _NODE_       166         166          124       1.87737
 _NODE_       167         167           10       0.15140
 _NODE_       168         168            8       0.12112
 _NODE_       169         169           17       0.25738
 _NODE_       170         170            7       0.10598
 _NODE_       175         175           10       0.15140
 _NODE_       176         176          109       1.65026
 _NODE_       177         177           26       0.39364
 _NODE_       178         178           14       0.21196
 _NODE_       179         179           10       0.15140
 _NODE_       180         180           21       0.31794
 _NODE_       187         187           17       0.25738
 _NODE_       188         188          103       1.55942
 _NODE_       189         189           28       0.42392
 _NODE_       190         190           18       0.27252
 _NODE_       191         191            6       0.09084
 _NODE_       192         192            9       0.13626
 _NODE_       193         193           10       0.15140
 _NODE_       194         194            5       0.07570
 _NODE_       195         195            7       0.10598
 _NODE_       196         196            9       0.13626
 _NODE_       197         197           26       0.39364
 _NODE_       198         198           33       0.49962
 _NODE_       199         199           31       0.46934
 _NODE_       200         200           86       1.30204
 _NODE_       201         201           73       1.10522
 _NODE_       202         202          126       1.90765
 _NODE_       203         203           49       0.74186
 _NODE_       204         204           76       1.15064
 _NODE_       205         205           66       0.99924
 _NODE_       206         206           80       1.21120
 _NODE_       207         207           64       0.96896
 _NODE_       211         211           26       0.39364
 _NODE_       212         212           12       0.18168
 _NODE_       213         213          106       1.60484
 _NODE_       214         214           44       0.66616
 _NODE_       215         215           27       0.40878
 _NODE_       222         222            7       0.10598
 _NODE_       223         223           31       0.46934
 _NODE_       224         224            8       0.12112
 _NODE_       225         225           42       0.63588
 _NODE_       226         226           28       0.42392
 _NODE_       230         230           19       0.28766
 _NODE_       231         231           84       1.27176
 _NODE_       232         232           22       0.33308
 _NODE_       233         233           22       0.33308
 _NODE_       234         234           21       0.31794
 _NODE_       235         235           35       0.52990
 _NODE_       236         236            5       0.07570
 _NODE_       237         237            5       0.07570
 _NODE_       238         238           57       0.86298


Data Role=VALIDATE Output Type=SEGMENT

            Numeric    Formatted    Frequency
Variable     Value       Value        Count      Percent

 _NODE_        24         24            29       0.58539
 _NODE_        32         32           114       2.30117
 _NODE_        34         34            38       0.76706
 _NODE_        35         35             2       0.04037
 _NODE_        37         37            15       0.30279
 _NODE_        38         38            39       0.78724
 _NODE_        39         39             5       0.10093
 _NODE_        42         42            13       0.26241
 _NODE_        43         43            21       0.42390
 _NODE_        51         51             7       0.14130
 _NODE_        53         53            62       1.25151
 _NODE_        55         55            71       1.43319
 _NODE_        58         58            71       1.43319
 _NODE_        62         62            20       0.40371
 _NODE_        69         69            48       0.96891
 _NODE_        72         72           147       2.96730
 _NODE_        73         73            70       1.41300
 _NODE_        75         75            73       1.47356
 _NODE_        78         78            57       1.15059
 _NODE_        79         79            41       0.82761
 _NODE_        80         80             5       0.10093
 _NODE_        81         81            21       0.42390
 _NODE_        82         82            34       0.68631
 _NODE_        87         87            33       0.66613
 _NODE_        88         88            19       0.38353
 _NODE_        89         89            94       1.89746
 _NODE_        90         90             4       0.08074
 _NODE_        96         96            31       0.62576
 _NODE_        97         97            25       0.50464
 _NODE_        98         98             5       0.10093
 _NODE_        99         99             7       0.14130
 _NODE_       102         102           69       1.39281
 _NODE_       105         105           87       1.75616
 _NODE_       106         106           50       1.00929
 _NODE_       109         109          284       5.73274
 _NODE_       110         110           65       1.31207
 _NODE_       112         112           50       1.00929
 _NODE_       113         113           69       1.39281
 _NODE_       115         115           72       1.45337
 _NODE_       116         116           43       0.86799
 _NODE_       120         120           13       0.26241
 _NODE_       121         121           58       1.17077
 _NODE_       124         124           93       1.87727
 _NODE_       125         125           57       1.15059
 _NODE_       126         126           11       0.22204
 _NODE_       127         127          124       2.50303
 _NODE_       128         128            9       0.18167
 _NODE_       129         129          208       4.19863
 _NODE_       130         130           33       0.66613
 _NODE_       131         131            9       0.18167
 _NODE_       132         132           34       0.68631
 _NODE_       134         134           18       0.36334
 _NODE_       135         135           17       0.34316
 _NODE_       136         136            9       0.18167
 _NODE_       137         137           71       1.43319
 _NODE_       138         138           66       1.33226
 _NODE_       139         139           52       1.04966
 _NODE_       140         140            3       0.06056
 _NODE_       142         142           18       0.36334
 _NODE_       143         143           50       1.00929
 _NODE_       144         144           27       0.54501
 _NODE_       145         145            4       0.08074
 _NODE_       146         146          133       2.68470
 _NODE_       147         147            3       0.06056
 _NODE_       148         148           16       0.32297
 _NODE_       150         150           38       0.76706
 _NODE_       152         152            5       0.10093
 _NODE_       155         155          280       5.65200
 _NODE_       156         156           32       0.64594
 _NODE_       160         160           16       0.32297
 _NODE_       161         161            4       0.08074
 _NODE_       165         165           24       0.48446
